Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;45 Toledo;45007 Alcolea de Tajo;Todas las edades;1 de enero de 2020;807
Total;45 Toledo;45007 Alcolea de Tajo;De 0 a 4 años;1 de enero de 2020;29
Total;45 Toledo;45007 Alcolea de Tajo;De 5 a 9 años;1 de enero de 2020;30
Total;45 Toledo;45007 Alcolea de Tajo;De 10 a 14 años;1 de enero de 2020;40
Total;45 Toledo;45007 Alcolea de Tajo;De 65 a 69 años;1 de enero de 2020;33
Total;45 Toledo;45007 Alcolea de Tajo;De 70 a 74 años;1 de enero de 2020;43
Total;45 Toledo;45007 Alcolea de Tajo;De 75 a 79 años;1 de enero de 2020;41
Total;45 Toledo;45007 Alcolea de Tajo;De 80 a 84 años;1 de enero de 2020;30
Total;45 Toledo;45007 Alcolea de Tajo;De 85 a 89 años;1 de enero de 2020;33
Total;45 Toledo;45007 Alcolea de Tajo;De 90 a 94 años;1 de enero de 2020;9
Total;45 Toledo;45007 Alcolea de Tajo;De 95 a 99 años;1 de enero de 2020;2
Total;45 Toledo;45007 Alcolea de Tajo;100 y más años;1 de enero de 2020;1
Total;45 Toledo;45008 Aldea en Cabo;Todas las edades;1 de enero de 2020;168
Total;45 Toledo;45008 Aldea en Cabo;De 0 a 4 años;1 de enero de 2020;0
Total;45 Toledo;45008 Aldea en Cabo;De 5 a 9 años;1 de enero de 2020;4
Total;45 Toledo;45008 Aldea en Cabo;De 10 a 14 años;1 de enero de 2020;2
Total;45 Toledo;45008 Aldea en Cabo;De 65 a 69 años;1 de enero de 2020;12
Total;45 Toledo;45008 Aldea en Cabo;De 70 a 74 años;1 de enero de 2020;7
Total;45 Toledo;45008 Aldea en Cabo;De 75 a 79 años;1 de enero de 2020;8
Total;45 Toledo;45008 Aldea en Cabo;De 80 a 84 años;1 de enero de 2020;10
Total;45 Toledo;45008 Aldea en Cabo;De 85 a 89 años;1 de enero de 2020;16
Total;45 Toledo;45008 Aldea en Cabo;De 90 a 94 años;1 de enero de 2020;8
Total;45 Toledo;45008 Aldea en Cabo;De 95 a 99 años;1 de enero de 2020;4
Total;45 Toledo;45008 Aldea en Cabo;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45009 Aldeanueva de Barbarroya;Todas las edades;1 de enero de 2020;501
Total;45 Toledo;45009 Aldeanueva de Barbarroya;De 0 a 4 años;1 de enero de 2020;10
Total;45 Toledo;45009 Aldeanueva de Barbarroya;De 5 a 9 años;1 de enero de 2020;14
Total;45 Toledo;45009 Aldeanueva de Barbarroya;De 10 a 14 años;1 de enero de 2020;10
Total;45 Toledo;45009 Aldeanueva de Barbarroya;De 65 a 69 años;1 de enero de 2020;29
Total;45 Toledo;45009 Aldeanueva de Barbarroya;De 70 a 74 años;1 de enero de 2020;32
Total;45 Toledo;45009 Aldeanueva de Barbarroya;De 75 a 79 años;1 de enero de 2020;33
Total;45 Toledo;45009 Aldeanueva de Barbarroya;De 80 a 84 años;1 de enero de 2020;38
Total;45 Toledo;45009 Aldeanueva de Barbarroya;De 85 a 89 años;1 de enero de 2020;42
Total;45 Toledo;45009 Aldeanueva de Barbarroya;De 90 a 94 años;1 de enero de 2020;24
Total;45 Toledo;45009 Aldeanueva de Barbarroya;De 95 a 99 años;1 de enero de 2020;7
Total;45 Toledo;45009 Aldeanueva de Barbarroya;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;Todas las edades;1 de enero de 2020;414
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;De 0 a 4 años;1 de enero de 2020;12
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;De 5 a 9 años;1 de enero de 2020;7
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;De 10 a 14 años;1 de enero de 2020;4
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;De 65 a 69 años;1 de enero de 2020;29
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;De 70 a 74 años;1 de enero de 2020;34
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;De 75 a 79 años;1 de enero de 2020;45
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;De 80 a 84 años;1 de enero de 2020;35
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;De 85 a 89 años;1 de enero de 2020;49
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;De 90 a 94 años;1 de enero de 2020;24
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;De 95 a 99 años;1 de enero de 2020;6
Total;45 Toledo;45010 Aldeanueva de San Bartolomé;100 y más años;1 de enero de 2020;1
Total;45 Toledo;45011 Almendral de la Cañada;Todas las edades;1 de enero de 2020;323
Total;45 Toledo;45011 Almendral de la Cañada;De 0 a 4 años;1 de enero de 2020;8
Total;45 Toledo;45011 Almendral de la Cañada;De 5 a 9 años;1 de enero de 2020;7
Total;45 Toledo;45011 Almendral de la Cañada;De 10 a 14 años;1 de enero de 2020;13
Total;45 Toledo;45011 Almendral de la Cañada;De 65 a 69 años;1 de enero de 2020;17
Total;45 Toledo;45011 Almendral de la Cañada;De 70 a 74 años;1 de enero de 2020;15
Total;45 Toledo;45011 Almendral de la Cañada;De 75 a 79 años;1 de enero de 2020;26
Total;45 Toledo;45011 Almendral de la Cañada;De 80 a 84 años;1 de enero de 2020;27
Total;45 Toledo;45011 Almendral de la Cañada;De 85 a 89 años;1 de enero de 2020;40
Total;45 Toledo;45011 Almendral de la Cañada;De 90 a 94 años;1 de enero de 2020;13
Total;45 Toledo;45011 Almendral de la Cañada;De 95 a 99 años;1 de enero de 2020;2
Total;45 Toledo;45011 Almendral de la Cañada;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45012 Almonacid de Toledo;Todas las edades;1 de enero de 2020;810
Total;45 Toledo;45012 Almonacid de Toledo;De 0 a 4 años;1 de enero de 2020;28
Total;45 Toledo;45012 Almonacid de Toledo;De 5 a 9 años;1 de enero de 2020;26
Total;45 Toledo;45012 Almonacid de Toledo;De 10 a 14 años;1 de enero de 2020;23
Total;45 Toledo;45012 Almonacid de Toledo;De 65 a 69 años;1 de enero de 2020;30
Total;45 Toledo;45012 Almonacid de Toledo;De 70 a 74 años;1 de enero de 2020;50
Total;45 Toledo;45012 Almonacid de Toledo;De 75 a 79 años;1 de enero de 2020;39
Total;45 Toledo;45012 Almonacid de Toledo;De 80 a 84 años;1 de enero de 2020;45
Total;45 Toledo;45012 Almonacid de Toledo;De 85 a 89 años;1 de enero de 2020;39
Total;45 Toledo;45012 Almonacid de Toledo;De 90 a 94 años;1 de enero de 2020;20
Total;45 Toledo;45012 Almonacid de Toledo;De 95 a 99 años;1 de enero de 2020;3
Total;45 Toledo;45012 Almonacid de Toledo;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45013 Almorox;Todas las edades;1 de enero de 2020;2.170
Total;45 Toledo;45013 Almorox;De 0 a 4 años;1 de enero de 2020;78
Total;45 Toledo;45013 Almorox;De 5 a 9 años;1 de enero de 2020;107
Total;45 Toledo;45013 Almorox;De 10 a 14 años;1 de enero de 2020;106
Total;45 Toledo;45013 Almorox;De 65 a 69 años;1 de enero de 2020;139
Total;45 Toledo;45013 Almorox;De 70 a 74 años;1 de enero de 2020;138
Total;45 Toledo;45013 Almorox;De 75 a 79 años;1 de enero de 2020;103
Total;45 Toledo;45013 Almorox;De 80 a 84 años;1 de enero de 2020;60
Total;45 Toledo;45013 Almorox;De 85 a 89 años;1 de enero de 2020;66
Total;45 Toledo;45013 Almorox;De 90 a 94 años;1 de enero de 2020;31
Total;45 Toledo;45013 Almorox;De 95 a 99 años;1 de enero de 2020;9
Total;45 Toledo;45013 Almorox;100 y más años;1 de enero de 2020;4
Total;45 Toledo;45014 Añover de Tajo;Todas las edades;1 de enero de 2020;5.176
Total;45 Toledo;45014 Añover de Tajo;De 0 a 4 años;1 de enero de 2020;237
Total;45 Toledo;45014 Añover de Tajo;De 5 a 9 años;1 de enero de 2020;217
Total;45 Toledo;45014 Añover de Tajo;De 10 a 14 años;1 de enero de 2020;315
Total;45 Toledo;45014 Añover de Tajo;De 65 a 69 años;1 de enero de 2020;262
Total;45 Toledo;45014 Añover de Tajo;De 70 a 74 años;1 de enero de 2020;239
