Municipio;Nacionalidad;Sexo;Destino;Total
02001-Abengibre;Total;Total;Misma provincia;8
02001-Abengibre;Total;Total;Misma comunidad autónoma, distinta provincia;0
02001-Abengibre;Total;Total;Otra comunidad autónoma;5
02001-Abengibre;Total;Total;Extranjero;1
02002-Alatoz;Total;Total;Misma provincia;6
02002-Alatoz;Total;Total;Misma comunidad autónoma, distinta provincia;0
02002-Alatoz;Total;Total;Otra comunidad autónoma;16
02002-Alatoz;Total;Total;Extranjero;2
02003-Albacete;Total;Total;Misma provincia;865
02003-Albacete;Total;Total;Misma comunidad autónoma, distinta provincia;373
02003-Albacete;Total;Total;Otra comunidad autónoma;2.284
02003-Albacete;Total;Total;Extranjero;1.050
02004-Albatana;Total;Total;Misma provincia;5
02004-Albatana;Total;Total;Misma comunidad autónoma, distinta provincia;0
02004-Albatana;Total;Total;Otra comunidad autónoma;18
02004-Albatana;Total;Total;Extranjero;1
02005-Alborea;Total;Total;Misma provincia;13
02005-Alborea;Total;Total;Misma comunidad autónoma, distinta provincia;0
02005-Alborea;Total;Total;Otra comunidad autónoma;18
02005-Alborea;Total;Total;Extranjero;0
02006-Alcadozo;Total;Total;Misma provincia;20
02006-Alcadozo;Total;Total;Misma comunidad autónoma, distinta provincia;0
02006-Alcadozo;Total;Total;Otra comunidad autónoma;5
02006-Alcadozo;Total;Total;Extranjero;1
02007-Alcalá del Júcar;Total;Total;Misma provincia;19
02007-Alcalá del Júcar;Total;Total;Misma comunidad autónoma, distinta provincia;2
02007-Alcalá del Júcar;Total;Total;Otra comunidad autónoma;24
02007-Alcalá del Júcar;Total;Total;Extranjero;0
02008-Alcaraz;Total;Total;Misma provincia;26
02008-Alcaraz;Total;Total;Misma comunidad autónoma, distinta provincia;3
02008-Alcaraz;Total;Total;Otra comunidad autónoma;19
02008-Alcaraz;Total;Total;Extranjero;0
02009-Almansa;Total;Total;Misma provincia;120
02009-Almansa;Total;Total;Misma comunidad autónoma, distinta provincia;12
02009-Almansa;Total;Total;Otra comunidad autónoma;387
02009-Almansa;Total;Total;Extranjero;88
02010-Alpera;Total;Total;Misma provincia;37
02010-Alpera;Total;Total;Misma comunidad autónoma, distinta provincia;6
02010-Alpera;Total;Total;Otra comunidad autónoma;17
02010-Alpera;Total;Total;Extranjero;0
02011-Ayna;Total;Total;Misma provincia;17
02011-Ayna;Total;Total;Misma comunidad autónoma, distinta provincia;1
02011-Ayna;Total;Total;Otra comunidad autónoma;12
02011-Ayna;Total;Total;Extranjero;0
02012-Balazote;Total;Total;Misma provincia;20
02012-Balazote;Total;Total;Misma comunidad autónoma, distinta provincia;2
02012-Balazote;Total;Total;Otra comunidad autónoma;26
02012-Balazote;Total;Total;Extranjero;48
02013-Balsa de Ves;Total;Total;Misma provincia;1
02013-Balsa de Ves;Total;Total;Misma comunidad autónoma, distinta provincia;0
02013-Balsa de Ves;Total;Total;Otra comunidad autónoma;4
02013-Balsa de Ves;Total;Total;Extranjero;0
