Municipio;Nacionalidad;Sexo;Destino;Total
19036 Aranzueque;Total;Total;Misma comunidad autónoma, distinta provincia;0
19036 Aranzueque;Total;Total;Otra comunidad autónoma;1
19036 Aranzueque;Total;Total;Extranjero;0
19037 Arbancón;Total;Total;Misma provincia;6
19037 Arbancón;Total;Total;Misma comunidad autónoma, distinta provincia;0
19037 Arbancón;Total;Total;Otra comunidad autónoma;5
19037 Arbancón;Total;Total;Extranjero;0
19038 Arbeteta;Total;Total;Misma provincia;0
19038 Arbeteta;Total;Total;Misma comunidad autónoma, distinta provincia;0
19038 Arbeteta;Total;Total;Otra comunidad autónoma;0
19038 Arbeteta;Total;Total;Extranjero;0
19039 Argecilla;Total;Total;Misma provincia;0
19039 Argecilla;Total;Total;Misma comunidad autónoma, distinta provincia;0
19039 Argecilla;Total;Total;Otra comunidad autónoma;0
19039 Argecilla;Total;Total;Extranjero;0
19040 Armallones;Total;Total;Misma provincia;0
19040 Armallones;Total;Total;Misma comunidad autónoma, distinta provincia;0
19040 Armallones;Total;Total;Otra comunidad autónoma;2
19040 Armallones;Total;Total;Extranjero;0
19041 Armuña de Tajuña;Total;Total;Misma provincia;13
19041 Armuña de Tajuña;Total;Total;Misma comunidad autónoma, distinta provincia;0
19041 Armuña de Tajuña;Total;Total;Otra comunidad autónoma;4
19041 Armuña de Tajuña;Total;Total;Extranjero;0
19042 Arroyo de las Fraguas;Total;Total;Misma provincia;0
19042 Arroyo de las Fraguas;Total;Total;Misma comunidad autónoma, distinta provincia;0
19042 Arroyo de las Fraguas;Total;Total;Otra comunidad autónoma;0
19042 Arroyo de las Fraguas;Total;Total;Extranjero;0
19043 Atanzón;Total;Total;Misma provincia;1
19043 Atanzón;Total;Total;Misma comunidad autónoma, distinta provincia;0
19043 Atanzón;Total;Total;Otra comunidad autónoma;0
19043 Atanzón;Total;Total;Extranjero;0
19044 Atienza;Total;Total;Misma provincia;14
19044 Atienza;Total;Total;Misma comunidad autónoma, distinta provincia;1
19044 Atienza;Total;Total;Otra comunidad autónoma;7
19044 Atienza;Total;Total;Extranjero;2
19045 Auñón;Total;Total;Misma provincia;1
19045 Auñón;Total;Total;Misma comunidad autónoma, distinta provincia;0
19045 Auñón;Total;Total;Otra comunidad autónoma;7
19045 Auñón;Total;Total;Extranjero;0
19046 Azuqueca de Henares;Total;Total;Misma provincia;703
19046 Azuqueca de Henares;Total;Total;Misma comunidad autónoma, distinta provincia;66
19046 Azuqueca de Henares;Total;Total;Otra comunidad autónoma;930
19046 Azuqueca de Henares;Total;Total;Extranjero;419
19047 Baides;Total;Total;Misma provincia;0
19047 Baides;Total;Total;Misma comunidad autónoma, distinta provincia;0
19047 Baides;Total;Total;Otra comunidad autónoma;0
19047 Baides;Total;Total;Extranjero;0
19048 Baños de Tajo;Total;Total;Misma provincia;0
19048 Baños de Tajo;Total;Total;Misma comunidad autónoma, distinta provincia;0
19048 Baños de Tajo;Total;Total;Otra comunidad autónoma;0
19048 Baños de Tajo;Total;Total;Extranjero;0
19049 Bañuelos;Total;Total;Misma provincia;0
19049 Bañuelos;Total;Total;Misma comunidad autónoma, distinta provincia;0
19049 Bañuelos;Total;Total;Otra comunidad autónoma;0
19049 Bañuelos;Total;Total;Extranjero;0
19050 Barriopedro;Total;Total;Misma provincia;0
19050 Barriopedro;Total;Total;Misma comunidad autónoma, distinta provincia;0
19050 Barriopedro;Total;Total;Otra comunidad autónoma;0
19050 Barriopedro;Total;Total;Extranjero;0
19051 Berninches;Total;Total;Misma provincia;1
19051 Berninches;Total;Total;Misma comunidad autónoma, distinta provincia;0
19051 Berninches;Total;Total;Otra comunidad autónoma;0
19051 Berninches;Total;Total;Extranjero;0
19052 Bodera, La;Total;Total;Misma provincia;0
19052 Bodera, La;Total;Total;Misma comunidad autónoma, distinta provincia;0
19052 Bodera, La;Total;Total;Otra comunidad autónoma;1
19052 Bodera, La;Total;Total;Extranjero;0
19053 Brihuega;Total;Total;Misma provincia;40
19053 Brihuega;Total;Total;Misma comunidad autónoma, distinta provincia;3
19053 Brihuega;Total;Total;Otra comunidad autónoma;37
19053 Brihuega;Total;Total;Extranjero;3
19054 Budia;Total;Total;Misma provincia;2
19054 Budia;Total;Total;Misma comunidad autónoma, distinta provincia;1
19054 Budia;Total;Total;Otra comunidad autónoma;3
19054 Budia;Total;Total;Extranjero;0
19055 Bujalaro;Total;Total;Misma provincia;1
19055 Bujalaro;Total;Total;Misma comunidad autónoma, distinta provincia;0
19055 Bujalaro;Total;Total;Otra comunidad autónoma;1
19055 Bujalaro;Total;Total;Extranjero;0
19057 Bustares;Total;Total;Misma provincia;0
19057 Bustares;Total;Total;Misma comunidad autónoma, distinta provincia;0
19057 Bustares;Total;Total;Otra comunidad autónoma;1
19057 Bustares;Total;Total;Extranjero;1
19058 Cabanillas del Campo;Total;Total;Misma provincia;236
19058 Cabanillas del Campo;Total;Total;Misma comunidad autónoma, distinta provincia;8
19058 Cabanillas del Campo;Total;Total;Otra comunidad autónoma;180
19058 Cabanillas del Campo;Total;Total;Extranjero;38
19059 Campillo de Dueñas;Total;Total;Misma provincia;0
19059 Campillo de Dueñas;Total;Total;Misma comunidad autónoma, distinta provincia;0
19059 Campillo de Dueñas;Total;Total;Otra comunidad autónoma;6
19059 Campillo de Dueñas;Total;Total;Extranjero;0
19060 Campillo de Ranas;Total;Total;Misma provincia;5
19060 Campillo de Ranas;Total;Total;Misma comunidad autónoma, distinta provincia;0
19060 Campillo de Ranas;Total;Total;Otra comunidad autónoma;8
19060 Campillo de Ranas;Total;Total;Extranjero;0
19061 Campisábalos;Total;Total;Misma provincia;1
19061 Campisábalos;Total;Total;Misma comunidad autónoma, distinta provincia;0
19061 Campisábalos;Total;Total;Otra comunidad autónoma;2
19061 Campisábalos;Total;Total;Extranjero;0
19066 Cañizar;Total;Total;Misma provincia;0
19066 Cañizar;Total;Total;Misma comunidad autónoma, distinta provincia;0
