Municipio;Nacionalidad;Sexo;Destino;Total
02001-Abengibre;Total;Total;Misma provincia;17
02001-Abengibre;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
02001-Abengibre;Total;Total;Otra COMUNIDAD AUTÓNOMA;7
02001-Abengibre;Total;Total;Extranjero;1
02002-Alatoz;Total;Total;Misma provincia;16
02002-Alatoz;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02002-Alatoz;Total;Total;Otra COMUNIDAD AUTÓNOMA;13
02002-Alatoz;Total;Total;Extranjero;12
02003-Albacete;Total;Total;Misma provincia;1.295
02003-Albacete;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;425
02003-Albacete;Total;Total;Otra COMUNIDAD AUTÓNOMA;2.436
02003-Albacete;Total;Total;Extranjero;405
02004-Albatana;Total;Total;Misma provincia;9
02004-Albatana;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02004-Albatana;Total;Total;Otra COMUNIDAD AUTÓNOMA;14
02004-Albatana;Total;Total;Extranjero;0
02005-Alborea;Total;Total;Misma provincia;17
02005-Alborea;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
02005-Alborea;Total;Total;Otra COMUNIDAD AUTÓNOMA;16
02005-Alborea;Total;Total;Extranjero;1
02006-Alcadozo;Total;Total;Misma provincia;9
02006-Alcadozo;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02006-Alcadozo;Total;Total;Otra COMUNIDAD AUTÓNOMA;5
02006-Alcadozo;Total;Total;Extranjero;0
02007-Alcalá del Júcar;Total;Total;Misma provincia;37
02007-Alcalá del Júcar;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02007-Alcalá del Júcar;Total;Total;Otra COMUNIDAD AUTÓNOMA;34
02007-Alcalá del Júcar;Total;Total;Extranjero;0
02008-Alcaraz;Total;Total;Misma provincia;26
02008-Alcaraz;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;2
02008-Alcaraz;Total;Total;Otra COMUNIDAD AUTÓNOMA;19
02008-Alcaraz;Total;Total;Extranjero;0
02009-Almansa;Total;Total;Misma provincia;105
02009-Almansa;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;14
02009-Almansa;Total;Total;Otra COMUNIDAD AUTÓNOMA;416
02009-Almansa;Total;Total;Extranjero;126
02010-Alpera;Total;Total;Misma provincia;41
02010-Alpera;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
02010-Alpera;Total;Total;Otra COMUNIDAD AUTÓNOMA;43
02010-Alpera;Total;Total;Extranjero;1
02011-Ayna;Total;Total;Misma provincia;14
02011-Ayna;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02011-Ayna;Total;Total;Otra COMUNIDAD AUTÓNOMA;10
02011-Ayna;Total;Total;Extranjero;0
02012-Balazote;Total;Total;Misma provincia;42
02012-Balazote;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;4
02012-Balazote;Total;Total;Otra COMUNIDAD AUTÓNOMA;32
02012-Balazote;Total;Total;Extranjero;41
02013-Balsa de Ves;Total;Total;Misma provincia;6
02013-Balsa de Ves;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02013-Balsa de Ves;Total;Total;Otra COMUNIDAD AUTÓNOMA;11
02013-Balsa de Ves;Total;Total;Extranjero;0
02014-Ballestero, El;Total;Total;Misma provincia;16
02014-Ballestero, El;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;4
02014-Ballestero, El;Total;Total;Otra COMUNIDAD AUTÓNOMA;10
02014-Ballestero, El;Total;Total;Extranjero;1
02015-Barrax;Total;Total;Misma provincia;44
02015-Barrax;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;3
02015-Barrax;Total;Total;Otra COMUNIDAD AUTÓNOMA;16
02015-Barrax;Total;Total;Extranjero;0
02016-Bienservida;Total;Total;Misma provincia;12
02016-Bienservida;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02016-Bienservida;Total;Total;Otra COMUNIDAD AUTÓNOMA;12
02016-Bienservida;Total;Total;Extranjero;7
02017-Bogarra;Total;Total;Misma provincia;10
02017-Bogarra;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
02017-Bogarra;Total;Total;Otra COMUNIDAD AUTÓNOMA;32
02017-Bogarra;Total;Total;Extranjero;1
02018-Bonete;Total;Total;Misma provincia;18
02018-Bonete;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;3
02018-Bonete;Total;Total;Otra COMUNIDAD AUTÓNOMA;12
02018-Bonete;Total;Total;Extranjero;5
02019-Bonillo, El;Total;Total;Misma provincia;19
02019-Bonillo, El;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;14
02019-Bonillo, El;Total;Total;Otra COMUNIDAD AUTÓNOMA;26
02019-Bonillo, El;Total;Total;Extranjero;4
02020-Carcelén;Total;Total;Misma provincia;10
02020-Carcelén;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02020-Carcelén;Total;Total;Otra COMUNIDAD AUTÓNOMA;11
02020-Carcelén;Total;Total;Extranjero;1
