Municipio;Nacionalidad;Sexo;Destino;Total
02001-Abengibre;Total;Total;Misma provincia;10
02001-Abengibre;Total;Total;Misma comunidad autónoma, distinta provincia;2
02001-Abengibre;Total;Total;Otra comunidad autónoma;6
02001-Abengibre;Total;Total;Extranjero;2
02002-Alatoz;Total;Total;Misma provincia;10
02002-Alatoz;Total;Total;Misma comunidad autónoma, distinta provincia;0
02002-Alatoz;Total;Total;Otra comunidad autónoma;9
02002-Alatoz;Total;Total;Extranjero;0
02003-Albacete;Total;Total;Misma provincia;879
02003-Albacete;Total;Total;Misma comunidad autónoma, distinta provincia;414
02003-Albacete;Total;Total;Otra comunidad autónoma;2.425
02003-Albacete;Total;Total;Extranjero;637
02004-Albatana;Total;Total;Misma provincia;16
02004-Albatana;Total;Total;Misma comunidad autónoma, distinta provincia;3
02004-Albatana;Total;Total;Otra comunidad autónoma;20
02004-Albatana;Total;Total;Extranjero;2
02005-Alborea;Total;Total;Misma provincia;18
02005-Alborea;Total;Total;Misma comunidad autónoma, distinta provincia;0
02005-Alborea;Total;Total;Otra comunidad autónoma;19
02005-Alborea;Total;Total;Extranjero;0
02006-Alcadozo;Total;Total;Misma provincia;23
02006-Alcadozo;Total;Total;Misma comunidad autónoma, distinta provincia;0
02006-Alcadozo;Total;Total;Otra comunidad autónoma;6
02006-Alcadozo;Total;Total;Extranjero;0
02007-Alcalá del Júcar;Total;Total;Misma provincia;28
02007-Alcalá del Júcar;Total;Total;Misma comunidad autónoma, distinta provincia;2
02007-Alcalá del Júcar;Total;Total;Otra comunidad autónoma;37
02007-Alcalá del Júcar;Total;Total;Extranjero;1
02008-Alcaraz;Total;Total;Misma provincia;44
02008-Alcaraz;Total;Total;Misma comunidad autónoma, distinta provincia;11
02008-Alcaraz;Total;Total;Otra comunidad autónoma;25
02008-Alcaraz;Total;Total;Extranjero;13
02009-Almansa;Total;Total;Misma provincia;106
02009-Almansa;Total;Total;Misma comunidad autónoma, distinta provincia;13
02009-Almansa;Total;Total;Otra comunidad autónoma;417
02009-Almansa;Total;Total;Extranjero;82
02010-Alpera;Total;Total;Misma provincia;18
02010-Alpera;Total;Total;Misma comunidad autónoma, distinta provincia;8
02010-Alpera;Total;Total;Otra comunidad autónoma;31
02010-Alpera;Total;Total;Extranjero;2
02011-Ayna;Total;Total;Misma provincia;27
02011-Ayna;Total;Total;Misma comunidad autónoma, distinta provincia;0
02011-Ayna;Total;Total;Otra comunidad autónoma;10
02011-Ayna;Total;Total;Extranjero;0
02012-Balazote;Total;Total;Misma provincia;29
02012-Balazote;Total;Total;Misma comunidad autónoma, distinta provincia;3
02012-Balazote;Total;Total;Otra comunidad autónoma;36
02012-Balazote;Total;Total;Extranjero;39
02013-Balsa de Ves;Total;Total;Misma provincia;1
02013-Balsa de Ves;Total;Total;Misma comunidad autónoma, distinta provincia;1
02013-Balsa de Ves;Total;Total;Otra comunidad autónoma;12
02013-Balsa de Ves;Total;Total;Extranjero;0
02014-Ballestero, El;Total;Total;Misma provincia;13
02014-Ballestero, El;Total;Total;Misma comunidad autónoma, distinta provincia;0
02014-Ballestero, El;Total;Total;Otra comunidad autónoma;7
02014-Ballestero, El;Total;Total;Extranjero;0
02015-Barrax;Total;Total;Misma provincia;35
02015-Barrax;Total;Total;Misma comunidad autónoma, distinta provincia;2
02015-Barrax;Total;Total;Otra comunidad autónoma;7
02015-Barrax;Total;Total;Extranjero;1
02016-Bienservida;Total;Total;Misma provincia;13
02016-Bienservida;Total;Total;Misma comunidad autónoma, distinta provincia;1
02016-Bienservida;Total;Total;Otra comunidad autónoma;24
02016-Bienservida;Total;Total;Extranjero;0
02017-Bogarra;Total;Total;Misma provincia;37
02017-Bogarra;Total;Total;Misma comunidad autónoma, distinta provincia;0
02017-Bogarra;Total;Total;Otra comunidad autónoma;15
02017-Bogarra;Total;Total;Extranjero;3
02018-Bonete;Total;Total;Misma provincia;19
02018-Bonete;Total;Total;Misma comunidad autónoma, distinta provincia;1
02018-Bonete;Total;Total;Otra comunidad autónoma;17
02018-Bonete;Total;Total;Extranjero;13
02019-Bonillo, El;Total;Total;Misma provincia;22
02019-Bonillo, El;Total;Total;Misma comunidad autónoma, distinta provincia;11
02019-Bonillo, El;Total;Total;Otra comunidad autónoma;31
02019-Bonillo, El;Total;Total;Extranjero;6
02020-Carcelén;Total;Total;Misma provincia;21
02020-Carcelén;Total;Total;Misma comunidad autónoma, distinta provincia;1
02020-Carcelén;Total;Total;Otra comunidad autónoma;9
02020-Carcelén;Total;Total;Extranjero;2
02021-Casas de Juan Núñez;Total;Total;Misma provincia;50
02021-Casas de Juan Núñez;Total;Total;Misma comunidad autónoma, distinta provincia;2
02021-Casas de Juan Núñez;Total;Total;Otra comunidad autónoma;33
02021-Casas de Juan Núñez;Total;Total;Extranjero;2
02022-Casas de Lázaro;Total;Total;Misma provincia;26
02022-Casas de Lázaro;Total;Total;Misma comunidad autónoma, distinta provincia;0
02022-Casas de Lázaro;Total;Total;Otra comunidad autónoma;3
02022-Casas de Lázaro;Total;Total;Extranjero;2
02023-Casas de Ves;Total;Total;Misma provincia;7
