Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;13 Ciudad Real;13006 Alcoba;De 95 a 99 años;1 de enero de 2020;5
Total;13 Ciudad Real;13006 Alcoba;100 y más años;1 de enero de 2020;1
Total;13 Ciudad Real;13007 Alcolea de Calatrava;Todas las edades;1 de enero de 2020;1.387
Total;13 Ciudad Real;13007 Alcolea de Calatrava;De 0 a 4 años;1 de enero de 2020;36
Total;13 Ciudad Real;13007 Alcolea de Calatrava;De 5 a 9 años;1 de enero de 2020;39
Total;13 Ciudad Real;13007 Alcolea de Calatrava;De 10 a 14 años;1 de enero de 2020;49
Total;13 Ciudad Real;13007 Alcolea de Calatrava;De 65 a 69 años;1 de enero de 2020;62
Total;13 Ciudad Real;13007 Alcolea de Calatrava;De 70 a 74 años;1 de enero de 2020;82
Total;13 Ciudad Real;13007 Alcolea de Calatrava;De 75 a 79 años;1 de enero de 2020;54
Total;13 Ciudad Real;13007 Alcolea de Calatrava;De 80 a 84 años;1 de enero de 2020;59
Total;13 Ciudad Real;13007 Alcolea de Calatrava;De 85 a 89 años;1 de enero de 2020;71
Total;13 Ciudad Real;13007 Alcolea de Calatrava;De 90 a 94 años;1 de enero de 2020;22
Total;13 Ciudad Real;13007 Alcolea de Calatrava;De 95 a 99 años;1 de enero de 2020;3
Total;13 Ciudad Real;13007 Alcolea de Calatrava;100 y más años;1 de enero de 2020;0
Total;13 Ciudad Real;13008 Alcubillas;Todas las edades;1 de enero de 2020;461
Total;13 Ciudad Real;13008 Alcubillas;De 0 a 4 años;1 de enero de 2020;7
Total;13 Ciudad Real;13008 Alcubillas;De 5 a 9 años;1 de enero de 2020;7
Total;13 Ciudad Real;13008 Alcubillas;De 10 a 14 años;1 de enero de 2020;6
Total;13 Ciudad Real;13008 Alcubillas;De 65 a 69 años;1 de enero de 2020;44
Total;13 Ciudad Real;13008 Alcubillas;De 70 a 74 años;1 de enero de 2020;23
Total;13 Ciudad Real;13008 Alcubillas;De 75 a 79 años;1 de enero de 2020;25
Total;13 Ciudad Real;13008 Alcubillas;De 80 a 84 años;1 de enero de 2020;29
Total;13 Ciudad Real;13008 Alcubillas;De 85 a 89 años;1 de enero de 2020;30
Total;13 Ciudad Real;13008 Alcubillas;De 90 a 94 años;1 de enero de 2020;11
Total;13 Ciudad Real;13008 Alcubillas;De 95 a 99 años;1 de enero de 2020;0
Total;13 Ciudad Real;13008 Alcubillas;100 y más años;1 de enero de 2020;1
Total;13 Ciudad Real;13009 Aldea del Rey;Todas las edades;1 de enero de 2020;1.631
Total;13 Ciudad Real;13009 Aldea del Rey;De 0 a 4 años;1 de enero de 2020;36
Total;13 Ciudad Real;13009 Aldea del Rey;De 5 a 9 años;1 de enero de 2020;45
Total;13 Ciudad Real;13009 Aldea del Rey;De 10 a 14 años;1 de enero de 2020;73
Total;13 Ciudad Real;13009 Aldea del Rey;De 65 a 69 años;1 de enero de 2020;100
Total;13 Ciudad Real;13009 Aldea del Rey;De 70 a 74 años;1 de enero de 2020;103
Total;13 Ciudad Real;13009 Aldea del Rey;De 75 a 79 años;1 de enero de 2020;96
Total;13 Ciudad Real;13009 Aldea del Rey;De 80 a 84 años;1 de enero de 2020;79
Total;13 Ciudad Real;13009 Aldea del Rey;De 85 a 89 años;1 de enero de 2020;57
Total;13 Ciudad Real;13009 Aldea del Rey;De 90 a 94 años;1 de enero de 2020;29
Total;13 Ciudad Real;13009 Aldea del Rey;De 95 a 99 años;1 de enero de 2020;6
Total;13 Ciudad Real;13009 Aldea del Rey;100 y más años;1 de enero de 2020;1
Total;13 Ciudad Real;13010 Alhambra;Todas las edades;1 de enero de 2020;1.005
Total;13 Ciudad Real;13010 Alhambra;De 0 a 4 años;1 de enero de 2020;28
Total;13 Ciudad Real;13010 Alhambra;De 5 a 9 años;1 de enero de 2020;26
Total;13 Ciudad Real;13010 Alhambra;De 10 a 14 años;1 de enero de 2020;31
Total;13 Ciudad Real;13010 Alhambra;De 65 a 69 años;1 de enero de 2020;48
Total;13 Ciudad Real;13010 Alhambra;De 70 a 74 años;1 de enero de 2020;49
Total;13 Ciudad Real;13010 Alhambra;De 75 a 79 años;1 de enero de 2020;51
Total;13 Ciudad Real;13010 Alhambra;De 80 a 84 años;1 de enero de 2020;51
Total;13 Ciudad Real;13010 Alhambra;De 85 a 89 años;1 de enero de 2020;33
Total;13 Ciudad Real;13010 Alhambra;De 90 a 94 años;1 de enero de 2020;11
Total;13 Ciudad Real;13010 Alhambra;De 95 a 99 años;1 de enero de 2020;0
Total;13 Ciudad Real;13010 Alhambra;100 y más años;1 de enero de 2020;0
Total;13 Ciudad Real;13011 Almadén;Todas las edades;1 de enero de 2020;5.200
Total;13 Ciudad Real;13011 Almadén;De 0 a 4 años;1 de enero de 2020;147
Total;13 Ciudad Real;13011 Almadén;De 5 a 9 años;1 de enero de 2020;178
Total;13 Ciudad Real;13011 Almadén;De 10 a 14 años;1 de enero de 2020;238
Total;13 Ciudad Real;13011 Almadén;De 65 a 69 años;1 de enero de 2020;246
Total;13 Ciudad Real;13011 Almadén;De 70 a 74 años;1 de enero de 2020;298
Total;13 Ciudad Real;13011 Almadén;De 75 a 79 años;1 de enero de 2020;283
Total;13 Ciudad Real;13011 Almadén;De 80 a 84 años;1 de enero de 2020;233
Total;13 Ciudad Real;13011 Almadén;De 85 a 89 años;1 de enero de 2020;226
Total;13 Ciudad Real;13011 Almadén;De 90 a 94 años;1 de enero de 2020;87
Total;13 Ciudad Real;13011 Almadén;De 95 a 99 años;1 de enero de 2020;18
Total;13 Ciudad Real;13011 Almadén;100 y más años;1 de enero de 2020;4
Total;13 Ciudad Real;13012 Almadenejos;Todas las edades;1 de enero de 2020;405
Total;13 Ciudad Real;13012 Almadenejos;De 0 a 4 años;1 de enero de 2020;8
