Municipio;Nacionalidad;Sexo;Destino;Total
02027 Corral-Rubio;Total;Total;Misma provincia;2
02027 Corral-Rubio;Total;Total;Misma comunidad autónoma, distinta provincia;0
02027 Corral-Rubio;Total;Total;Otra comunidad autónoma;1
02027 Corral-Rubio;Total;Total;Extranjero;0
02028 Cotillas;Total;Total;Misma provincia;1
02028 Cotillas;Total;Total;Misma comunidad autónoma, distinta provincia;0
02028 Cotillas;Total;Total;Otra comunidad autónoma;1
02028 Cotillas;Total;Total;Extranjero;0
02030 Elche de la Sierra;Total;Total;Misma provincia;31
02030 Elche de la Sierra;Total;Total;Misma comunidad autónoma, distinta provincia;2
02030 Elche de la Sierra;Total;Total;Otra comunidad autónoma;54
02030 Elche de la Sierra;Total;Total;Extranjero;6
02031 Férez;Total;Total;Misma provincia;5
02031 Férez;Total;Total;Misma comunidad autónoma, distinta provincia;0
02031 Férez;Total;Total;Otra comunidad autónoma;16
02031 Férez;Total;Total;Extranjero;0
02032 Fuensanta;Total;Total;Misma provincia;4
02032 Fuensanta;Total;Total;Misma comunidad autónoma, distinta provincia;5
02032 Fuensanta;Total;Total;Otra comunidad autónoma;9
02032 Fuensanta;Total;Total;Extranjero;0
02033 Fuente-Álamo;Total;Total;Misma provincia;32
02033 Fuente-Álamo;Total;Total;Misma comunidad autónoma, distinta provincia;4
02033 Fuente-Álamo;Total;Total;Otra comunidad autónoma;37
02033 Fuente-Álamo;Total;Total;Extranjero;5
02034 Fuentealbilla;Total;Total;Misma provincia;20
02034 Fuentealbilla;Total;Total;Misma comunidad autónoma, distinta provincia;1
02034 Fuentealbilla;Total;Total;Otra comunidad autónoma;21
02034 Fuentealbilla;Total;Total;Extranjero;3
02035 Gineta, La;Total;Total;Misma provincia;82
02035 Gineta, La;Total;Total;Misma comunidad autónoma, distinta provincia;5
02035 Gineta, La;Total;Total;Otra comunidad autónoma;17
02035 Gineta, La;Total;Total;Extranjero;4
02036 Golosalvo;Total;Total;Misma provincia;0
02036 Golosalvo;Total;Total;Misma comunidad autónoma, distinta provincia;0
