Municipio;Nacionalidad;Sexo;Destino;Total
02001 Abengibre;Total;Total;Misma provincia;23
02001 Abengibre;Total;Total;Misma comunidad autónoma, distinta provincia;4
02001 Abengibre;Total;Total;Otra comunidad autónoma;16
02001 Abengibre;Total;Total;Extranjero;0
02002 Alatoz;Total;Total;Misma provincia;11
02002 Alatoz;Total;Total;Misma comunidad autónoma, distinta provincia;0
02002 Alatoz;Total;Total;Otra comunidad autónoma;4
02002 Alatoz;Total;Total;Extranjero;1
02003 Albacete;Total;Total;Misma provincia;1.022
02003 Albacete;Total;Total;Misma comunidad autónoma, distinta provincia;426
02003 Albacete;Total;Total;Otra comunidad autónoma;2.333
02003 Albacete;Total;Total;Extranjero;848
02004 Albatana;Total;Total;Misma provincia;10
02004 Albatana;Total;Total;Misma comunidad autónoma, distinta provincia;1
02004 Albatana;Total;Total;Otra comunidad autónoma;10
02004 Albatana;Total;Total;Extranjero;2
02005 Alborea;Total;Total;Misma provincia;15
02005 Alborea;Total;Total;Misma comunidad autónoma, distinta provincia;2
02005 Alborea;Total;Total;Otra comunidad autónoma;12
02005 Alborea;Total;Total;Extranjero;8
02006 Alcadozo;Total;Total;Misma provincia;23
02006 Alcadozo;Total;Total;Misma comunidad autónoma, distinta provincia;1
02006 Alcadozo;Total;Total;Otra comunidad autónoma;6
02006 Alcadozo;Total;Total;Extranjero;0
02007 Alcalá del Júcar;Total;Total;Misma provincia;21
02007 Alcalá del Júcar;Total;Total;Misma comunidad autónoma, distinta provincia;1
02007 Alcalá del Júcar;Total;Total;Otra comunidad autónoma;18
02007 Alcalá del Júcar;Total;Total;Extranjero;2
02008 Alcaraz;Total;Total;Misma provincia;24
02008 Alcaraz;Total;Total;Misma comunidad autónoma, distinta provincia;3
02008 Alcaraz;Total;Total;Otra comunidad autónoma;30
02008 Alcaraz;Total;Total;Extranjero;1
02009 Almansa;Total;Total;Misma provincia;83
02009 Almansa;Total;Total;Misma comunidad autónoma, distinta provincia;28
02009 Almansa;Total;Total;Otra comunidad autónoma;378
02009 Almansa;Total;Total;Extranjero;58
02010 Alpera;Total;Total;Misma provincia;24
02010 Alpera;Total;Total;Misma comunidad autónoma, distinta provincia;0
02010 Alpera;Total;Total;Otra comunidad autónoma;23
02010 Alpera;Total;Total;Extranjero;2
02011 Ayna;Total;Total;Misma provincia;24
02011 Ayna;Total;Total;Misma comunidad autónoma, distinta provincia;1
02011 Ayna;Total;Total;Otra comunidad autónoma;13
02011 Ayna;Total;Total;Extranjero;1
02012 Balazote;Total;Total;Misma provincia;31
02012 Balazote;Total;Total;Misma comunidad autónoma, distinta provincia;7
02012 Balazote;Total;Total;Otra comunidad autónoma;27
02012 Balazote;Total;Total;Extranjero;0
02014 Ballestero, El;Total;Total;Misma provincia;8
02014 Ballestero, El;Total;Total;Misma comunidad autónoma, distinta provincia;0
02014 Ballestero, El;Total;Total;Otra comunidad autónoma;4
02014 Ballestero, El;Total;Total;Extranjero;1
02013 Balsa de Ves;Total;Total;Misma provincia;4
02013 Balsa de Ves;Total;Total;Misma comunidad autónoma, distinta provincia;0
