Municipio;Nacionalidad;Sexo;Destino;Total
02024-Casas-Ibáñez;Total;Total;Extranjero;19
02025-Caudete;Total;Total;Misma provincia;33
02025-Caudete;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
02025-Caudete;Total;Total;Otra COMUNIDAD AUTÓNOMA;256
02025-Caudete;Total;Total;Extranjero;77
02026-Cenizate;Total;Total;Misma provincia;18
02026-Cenizate;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;2
02026-Cenizate;Total;Total;Otra COMUNIDAD AUTÓNOMA;17
02026-Cenizate;Total;Total;Extranjero;5
02027-Corral-Rubio;Total;Total;Misma provincia;18
02027-Corral-Rubio;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02027-Corral-Rubio;Total;Total;Otra COMUNIDAD AUTÓNOMA;7
02027-Corral-Rubio;Total;Total;Extranjero;0
02028-Cotillas;Total;Total;Misma provincia;1
02028-Cotillas;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02028-Cotillas;Total;Total;Otra COMUNIDAD AUTÓNOMA;4
02028-Cotillas;Total;Total;Extranjero;0
02029-Chinchilla de Monte-Aragón;Total;Total;Misma provincia;105
02029-Chinchilla de Monte-Aragón;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;12
02029-Chinchilla de Monte-Aragón;Total;Total;Otra COMUNIDAD AUTÓNOMA;83
02029-Chinchilla de Monte-Aragón;Total;Total;Extranjero;2
02030-Elche de la Sierra;Total;Total;Misma provincia;45
02030-Elche de la Sierra;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;5
02030-Elche de la Sierra;Total;Total;Otra COMUNIDAD AUTÓNOMA;75
02030-Elche de la Sierra;Total;Total;Extranjero;2
02031-Férez;Total;Total;Misma provincia;11
02031-Férez;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
02031-Férez;Total;Total;Otra COMUNIDAD AUTÓNOMA;25
02031-Férez;Total;Total;Extranjero;0
02032-Fuensanta;Total;Total;Misma provincia;6
02032-Fuensanta;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02032-Fuensanta;Total;Total;Otra COMUNIDAD AUTÓNOMA;1
02032-Fuensanta;Total;Total;Extranjero;0
02033-Fuente-Álamo;Total;Total;Misma provincia;27
02033-Fuente-Álamo;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;5
02033-Fuente-Álamo;Total;Total;Otra COMUNIDAD AUTÓNOMA;50
02033-Fuente-Álamo;Total;Total;Extranjero;18
02034-Fuentealbilla;Total;Total;Misma provincia;21
02034-Fuentealbilla;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;3
02034-Fuentealbilla;Total;Total;Otra COMUNIDAD AUTÓNOMA;22
02034-Fuentealbilla;Total;Total;Extranjero;8
02035-Gineta, La;Total;Total;Misma provincia;86
02035-Gineta, La;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;8
02035-Gineta, La;Total;Total;Otra COMUNIDAD AUTÓNOMA;33
02035-Gineta, La;Total;Total;Extranjero;15
02036-Golosalvo;Total;Total;Misma provincia;1
02036-Golosalvo;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;0
02036-Golosalvo;Total;Total;Otra COMUNIDAD AUTÓNOMA;3
02036-Golosalvo;Total;Total;Extranjero;0
02037-Hellín;Total;Total;Misma provincia;166
02037-Hellín;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;44
02037-Hellín;Total;Total;Otra COMUNIDAD AUTÓNOMA;581
02037-Hellín;Total;Total;Extranjero;133
02038-Herrera, La;Total;Total;Misma provincia;10
02038-Herrera, La;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
02038-Herrera, La;Total;Total;Otra COMUNIDAD AUTÓNOMA;1
02038-Herrera, La;Total;Total;Extranjero;0
02039-Higueruela;Total;Total;Misma provincia;14
02039-Higueruela;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
02039-Higueruela;Total;Total;Otra COMUNIDAD AUTÓNOMA;14
02039-Higueruela;Total;Total;Extranjero;14
02040-Hoya-Gonzalo;Total;Total;Misma provincia;20
02040-Hoya-Gonzalo;Total;Total;Misma COMUNIDAD AUTÓNOMA distinta provincia;1
