Municipio;Nacionalidad;Sexo;Destino;Total
16027 Barajas de Melo;Total;Total;Otra comunidad autónoma;""
16027 Barajas de Melo;Total;Total;Extranjero;""
16029 Barchín del Hoyo;Total;Total;Misma provincia;""
16029 Barchín del Hoyo;Total;Total;Misma comunidad autónoma, distinta provincia;""
16029 Barchín del Hoyo;Total;Total;Otra comunidad autónoma;""
16029 Barchín del Hoyo;Total;Total;Extranjero;""
16030 Bascuñana de San Pedro;Total;Total;Misma provincia;""
16030 Bascuñana de San Pedro;Total;Total;Misma comunidad autónoma, distinta provincia;""
16030 Bascuñana de San Pedro;Total;Total;Otra comunidad autónoma;""
16030 Bascuñana de San Pedro;Total;Total;Extranjero;""
16031 Beamud;Total;Total;Misma provincia;""
16031 Beamud;Total;Total;Misma comunidad autónoma, distinta provincia;""
16031 Beamud;Total;Total;Otra comunidad autónoma;""
16031 Beamud;Total;Total;Extranjero;""
16032 Belinchón;Total;Total;Misma provincia;""
16032 Belinchón;Total;Total;Misma comunidad autónoma, distinta provincia;""
16032 Belinchón;Total;Total;Otra comunidad autónoma;""
16032 Belinchón;Total;Total;Extranjero;""
16033 Belmonte;Total;Total;Misma provincia;""
16033 Belmonte;Total;Total;Misma comunidad autónoma, distinta provincia;""
16033 Belmonte;Total;Total;Otra comunidad autónoma;""
16033 Belmonte;Total;Total;Extranjero;""
16034 Belmontejo;Total;Total;Misma provincia;""
16034 Belmontejo;Total;Total;Misma comunidad autónoma, distinta provincia;""
16034 Belmontejo;Total;Total;Otra comunidad autónoma;""
16034 Belmontejo;Total;Total;Extranjero;""
16035 Beteta;Total;Total;Misma provincia;""
16035 Beteta;Total;Total;Misma comunidad autónoma, distinta provincia;""
16035 Beteta;Total;Total;Otra comunidad autónoma;""
16035 Beteta;Total;Total;Extranjero;""
16036 Boniches;Total;Total;Misma provincia;""
16036 Boniches;Total;Total;Misma comunidad autónoma, distinta provincia;""
16036 Boniches;Total;Total;Otra comunidad autónoma;""
16036 Boniches;Total;Total;Extranjero;""
16038 Buciegas;Total;Total;Misma provincia;""
16038 Buciegas;Total;Total;Misma comunidad autónoma, distinta provincia;""
16038 Buciegas;Total;Total;Otra comunidad autónoma;""
16038 Buciegas;Total;Total;Extranjero;""
16039 Buenache de Alarcón;Total;Total;Misma provincia;""
16039 Buenache de Alarcón;Total;Total;Misma comunidad autónoma, distinta provincia;""
16039 Buenache de Alarcón;Total;Total;Otra comunidad autónoma;""
16039 Buenache de Alarcón;Total;Total;Extranjero;""
16040 Buenache de la Sierra;Total;Total;Misma provincia;""
16040 Buenache de la Sierra;Total;Total;Misma comunidad autónoma, distinta provincia;""
16040 Buenache de la Sierra;Total;Total;Otra comunidad autónoma;""
16040 Buenache de la Sierra;Total;Total;Extranjero;""
16041 Buendía;Total;Total;Misma provincia;""
16041 Buendía;Total;Total;Misma comunidad autónoma, distinta provincia;""
16041 Buendía;Total;Total;Otra comunidad autónoma;""
16041 Buendía;Total;Total;Extranjero;""
16042 Campillo de Altobuey;Total;Total;Misma provincia;""
16042 Campillo de Altobuey;Total;Total;Misma comunidad autónoma, distinta provincia;""
