Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;16 Cuenca;16006 Albendea;100 y más años;1 de enero de 2020;1
Total;16 Cuenca;16007 Alberca de Záncara, La;Todas las edades;1 de enero de 2020;1.608
Total;16 Cuenca;16007 Alberca de Záncara, La;De 0 a 4 años;1 de enero de 2020;66
Total;16 Cuenca;16007 Alberca de Záncara, La;De 5 a 9 años;1 de enero de 2020;59
Total;16 Cuenca;16007 Alberca de Záncara, La;De 10 a 14 años;1 de enero de 2020;66
Total;16 Cuenca;16007 Alberca de Záncara, La;De 65 a 69 años;1 de enero de 2020;81
Total;16 Cuenca;16007 Alberca de Záncara, La;De 70 a 74 años;1 de enero de 2020;77
Total;16 Cuenca;16007 Alberca de Záncara, La;De 75 a 79 años;1 de enero de 2020;81
Total;16 Cuenca;16007 Alberca de Záncara, La;De 80 a 84 años;1 de enero de 2020;68
Total;16 Cuenca;16007 Alberca de Záncara, La;De 85 a 89 años;1 de enero de 2020;50
Total;16 Cuenca;16007 Alberca de Záncara, La;De 90 a 94 años;1 de enero de 2020;12
Total;16 Cuenca;16007 Alberca de Záncara, La;De 95 a 99 años;1 de enero de 2020;8
Total;16 Cuenca;16007 Alberca de Záncara, La;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16008 Alcalá de la Vega;Todas las edades;1 de enero de 2020;90
Total;16 Cuenca;16008 Alcalá de la Vega;De 0 a 4 años;1 de enero de 2020;1
Total;16 Cuenca;16008 Alcalá de la Vega;De 5 a 9 años;1 de enero de 2020;1
Total;16 Cuenca;16008 Alcalá de la Vega;De 10 a 14 años;1 de enero de 2020;0
Total;16 Cuenca;16008 Alcalá de la Vega;De 65 a 69 años;1 de enero de 2020;12
Total;16 Cuenca;16008 Alcalá de la Vega;De 70 a 74 años;1 de enero de 2020;5
Total;16 Cuenca;16008 Alcalá de la Vega;De 75 a 79 años;1 de enero de 2020;6
Total;16 Cuenca;16008 Alcalá de la Vega;De 80 a 84 años;1 de enero de 2020;7
Total;16 Cuenca;16008 Alcalá de la Vega;De 85 a 89 años;1 de enero de 2020;9
Total;16 Cuenca;16008 Alcalá de la Vega;De 90 a 94 años;1 de enero de 2020;6
Total;16 Cuenca;16008 Alcalá de la Vega;De 95 a 99 años;1 de enero de 2020;0
Total;16 Cuenca;16008 Alcalá de la Vega;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16009 Alcantud;Todas las edades;1 de enero de 2020;48
Total;16 Cuenca;16009 Alcantud;De 0 a 4 años;1 de enero de 2020;0
Total;16 Cuenca;16009 Alcantud;De 5 a 9 años;1 de enero de 2020;0
Total;16 Cuenca;16009 Alcantud;De 10 a 14 años;1 de enero de 2020;0
Total;16 Cuenca;16009 Alcantud;De 65 a 69 años;1 de enero de 2020;4
Total;16 Cuenca;16009 Alcantud;De 70 a 74 años;1 de enero de 2020;4
Total;16 Cuenca;16009 Alcantud;De 75 a 79 años;1 de enero de 2020;3
Total;16 Cuenca;16009 Alcantud;De 80 a 84 años;1 de enero de 2020;5
Total;16 Cuenca;16009 Alcantud;De 85 a 89 años;1 de enero de 2020;4
Total;16 Cuenca;16009 Alcantud;De 90 a 94 años;1 de enero de 2020;3
Total;16 Cuenca;16009 Alcantud;De 95 a 99 años;1 de enero de 2020;0
Total;16 Cuenca;16009 Alcantud;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16010 Alcázar del Rey;Todas las edades;1 de enero de 2020;142
Total;16 Cuenca;16010 Alcázar del Rey;De 0 a 4 años;1 de enero de 2020;4
Total;16 Cuenca;16010 Alcázar del Rey;De 5 a 9 años;1 de enero de 2020;6
Total;16 Cuenca;16010 Alcázar del Rey;De 10 a 14 años;1 de enero de 2020;1
Total;16 Cuenca;16010 Alcázar del Rey;De 65 a 69 años;1 de enero de 2020;11
Total;16 Cuenca;16010 Alcázar del Rey;De 70 a 74 años;1 de enero de 2020;8
Total;16 Cuenca;16010 Alcázar del Rey;De 75 a 79 años;1 de enero de 2020;8
Total;16 Cuenca;16010 Alcázar del Rey;De 80 a 84 años;1 de enero de 2020;9
Total;16 Cuenca;16010 Alcázar del Rey;De 85 a 89 años;1 de enero de 2020;11
