Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;19 Guadalajara;19007 Albares;De 5 a 9 años;1 de enero de 2020;13
Total;19 Guadalajara;19007 Albares;De 10 a 14 años;1 de enero de 2020;19
Total;19 Guadalajara;19007 Albares;De 65 a 69 años;1 de enero de 2020;29
Total;19 Guadalajara;19007 Albares;De 70 a 74 años;1 de enero de 2020;37
Total;19 Guadalajara;19007 Albares;De 75 a 79 años;1 de enero de 2020;31
Total;19 Guadalajara;19007 Albares;De 80 a 84 años;1 de enero de 2020;31
Total;19 Guadalajara;19007 Albares;De 85 a 89 años;1 de enero de 2020;31
Total;19 Guadalajara;19007 Albares;De 90 a 94 años;1 de enero de 2020;17
Total;19 Guadalajara;19007 Albares;De 95 a 99 años;1 de enero de 2020;4
Total;19 Guadalajara;19007 Albares;100 y más años;1 de enero de 2020;1
Total;19 Guadalajara;19008 Albendiego;Todas las edades;1 de enero de 2020;50
Total;19 Guadalajara;19008 Albendiego;De 0 a 4 años;1 de enero de 2020;5
Total;19 Guadalajara;19008 Albendiego;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19008 Albendiego;De 10 a 14 años;1 de enero de 2020;2
Total;19 Guadalajara;19008 Albendiego;De 65 a 69 años;1 de enero de 2020;4
Total;19 Guadalajara;19008 Albendiego;De 70 a 74 años;1 de enero de 2020;1
Total;19 Guadalajara;19008 Albendiego;De 75 a 79 años;1 de enero de 2020;0
Total;19 Guadalajara;19008 Albendiego;De 80 a 84 años;1 de enero de 2020;0
Total;19 Guadalajara;19008 Albendiego;De 85 a 89 años;1 de enero de 2020;2
Total;19 Guadalajara;19008 Albendiego;De 90 a 94 años;1 de enero de 2020;1
Total;19 Guadalajara;19008 Albendiego;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19008 Albendiego;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19009 Alcocer;Todas las edades;1 de enero de 2020;328
Total;19 Guadalajara;19009 Alcocer;De 0 a 4 años;1 de enero de 2020;5
Total;19 Guadalajara;19009 Alcocer;De 5 a 9 años;1 de enero de 2020;7
Total;19 Guadalajara;19009 Alcocer;De 10 a 14 años;1 de enero de 2020;11
Total;19 Guadalajara;19009 Alcocer;De 65 a 69 años;1 de enero de 2020;21
Total;19 Guadalajara;19009 Alcocer;De 70 a 74 años;1 de enero de 2020;15
Total;19 Guadalajara;19009 Alcocer;De 75 a 79 años;1 de enero de 2020;18
Total;19 Guadalajara;19009 Alcocer;De 80 a 84 años;1 de enero de 2020;14
Total;19 Guadalajara;19009 Alcocer;De 85 a 89 años;1 de enero de 2020;27
Total;19 Guadalajara;19009 Alcocer;De 90 a 94 años;1 de enero de 2020;16
Total;19 Guadalajara;19009 Alcocer;De 95 a 99 años;1 de enero de 2020;6
